id_event,id_sta,t_sin,phase,t_time
1,ABNG,1.9863297103957755,P,1.87
1,TMKS,2.86232387600868,P,2.71
1,PSAG,3.6024926905426913,P,3.18
1,YHKR,3.773553368243515,P,3.43
2,ABNG,2.0743635325279,P,1.96
2,TMKS,2.8110421571153084,P,2.95
2,PSAG,3.4604249973587446,P,3.09
3,ABNG,1.7172722933733269,P,1.52
3,YHKR,3.3090528490991,P,2.83
3,REND,2.986295812455066,P,3.03
4,ABNG,2.015612713851141,P,1.84
4,TMKS,2.7333491750072136,P,2.75
4,PSAG,3.4079859788220817,P,3.06
5,ABNG,2.603753458259439,P,3.33
5,PSAG,4.517231298182312,P,4.9
5,YHKR,4.620124560634305,P,4.92
6,TMKS,1.579299756129952,P,1.62
6,ABNG,1.7908560549895842,P,1.5
6,PSAG,2.543700303450719,P,1.89
6,YHKR,2.7955172413927953,P,2.62
7,ABNG,1.6496522081499514,P,1.68
7,TMKS,2.1753587428692795,P,2.66
7,PSAG,2.7559007954163244,P,2.97
7,YHKR,2.950300955893865,P,3.23
8,ABNG,2.021511426456456,P,2.44
8,TMKS,2.419623134760228,P,2.86
8,PSAG,2.754951974866535,P,3.15
8,YHKR,2.8999716316006925,P,3.48
9,ABNG,1.821951396860592,P,1.95
9,TMKS,2.269789874466213,P,2.85
9,PSAG,2.73219565229286,P,3.15
9,YHKR,2.9074284683734644,P,3.22
10,ABNG,2.060622426115305,P,1.84
10,TMKS,2.8685486172159975,P,2.83
10,PSAG,3.4361044485149064,P,3.12
10,YHKR,3.552500734490094,P,3.15
11,ABNG,2.3899376692302448,P,2.23
11,TMKS,3.1986417134525342,P,3.18
11,YHKR,3.8573120017040297,P,3.42
12,ABNG,2.0531641970590027,P,2.04
12,TMKS,2.934431611930086,P,2.86
12,PSAG,3.299147235458614,P,3.1
12,YHKR,3.4261783311518164,P,3.21
13,ABNG,1.6423451105454903,P,1.87
13,TMKS,2.414306079673929,P,2.78
13,PSAG,2.9813768016998736,P,3.05
13,YHKR,3.166181955961004,P,3.12
14,ABNG,2.0062353533660384,P,1.86
14,TMKS,3.0378186435207333,P,2.81
14,PSAG,3.5149817915302206,P,3.12
14,YHKR,3.632964919227061,P,3.15
15,ABNG,2.3987980765884673,P,2.21
15,YHKR,3.9396225802751093,P,3.53
15,REND,4.1600018263555905,P,4.13
16,ABNG,2.758552256636996,P,2.6
16,TMKS,3.196243856307841,P,2.89
16,PSAG,3.6496869976511936,P,3.24
16,YHKR,3.721525523340049,P,3.36
17,ABNG,2.3397623545994843,P,2.19
17,PSAG,3.288964184816465,P,3.04
17,YHKR,3.421704385613746,P,3.1
17,REND,3.4822516437659843,P,3.4
18,ABNG,1.7293924139304722,P,1.73
18,TMKS,2.7339654774296203,P,2.67
18,PSAG,3.274301534093305,P,2.97
18,YHKR,3.429001687260761,P,3.27
19,ABNG,2.7558780647205174,P,2.6
19,YHKR,4.0673880058047285,P,3.8
19,REND,3.9165733805149534,P,3.94
20,ABNG,2.1081662948955295,P,2.31
20,TMKS,2.7502584352302084,P,2.73
20,PSAG,3.0526800448738785,P,3.01
20,YHKR,3.182163238044085,P,3.31
21,TMKS,2.506237001434049,P,2.46
21,PSAG,3.380067622521176,P,2.86
21,YHKR,3.597272964065646,P,3.32
22,ABNG,1.972895991516845,P,1.79
22,TMKS,2.8863668783998873,P,2.82
22,PSAG,3.618044909463273,P,3.13
22,YHKR,3.787337071782404,P,3.46
23,ABNG,2.06919616228377,P,2.57
23,PSAG,2.4876862386143674,P,3.16
23,YHKR,2.7692047388293743,P,3.35
24,ABNG,2.0807975356718997,P,1.82
24,TMKS,3.242532753279987,P,2.81
24,PSAG,3.7088898506953796,P,3.18
24,YHKR,3.8317389239236026,P,3.38
25,ABNG,1.6741544560014752,P,1.81
25,TMKS,2.2341960092093456,P,2.72
25,YHKR,2.9847575514566342,P,3.16
25,REND,3.929672767710784,P,3.25
26,ABNG,1.7126070603783388,P,1.77
26,TMKS,2.2076462557329974,P,2.77
26,PSAG,2.7423245170274844,P,3.07
26,YHKR,2.926767355584053,P,3.21
27,ABNG,2.218644458607139,P,1.99
27,TMKS,3.2552846923000853,P,2.85
27,PSAG,3.629861269137432,P,3.21
28,ABNG,2.5700047219135125,P,2.44
28,YHKR,4.043302434290722,P,3.67
28,REND,3.944722149204713,P,3.94
29,ABNG,2.287364272189517,P,2.08
29,TMKS,2.859682244144421,P,3.05
29,YHKR,3.7130951405300685,P,3.45
29,REND,3.6708926532018404,P,3.54
30,ABNG,1.8497004861306656,P,1.68
30,TMKS,2.567097124719656,P,2.56
30,PSAG,3.3671310099957537,P,2.85
30,YHKR,3.5635944367723833,P,3.26
31,ABNG,1.6558841136761204,P,1.45
31,TMKS,2.558649905250096,P,2.52
31,PSAG,3.249930235778533,P,2.94
31,YHKR,3.410140837861463,P,2.96
32,ABNG,1.6646636388832565,P,1.77
32,TMKS,2.202791331729805,P,2.65
32,PSAG,2.7711346678994433,P,2.98
32,YHKR,2.9647787452259378,P,3.27
33,ABNG,1.7588877263639424,P,1.96
33,TMKS,2.2793567881167824,P,2.89
33,YHKR,2.950289382522864,P,3.22
34,ABNG,1.7177818558823255,P,1.86
34,TMKS,2.287788944642622,P,2.75
34,PSAG,2.813315726178455,P,3.07
34,YHKR,2.99536312335728,P,3.14
35,ABNG,1.9025542850925476,P,1.75
35,TMKS,2.6637999556210152,P,2.69
35,PSAG,3.423758735615653,P,2.96
35,YHKR,3.6059700473010374,P,3.26
